Identificador do processo de viagem,Número da Proposta (PCDP),Código do órgão superior,Nome do órgão superior,Codigo do órgão pagador,Nome do órgao pagador,Código da unidade gestora pagadora,Nome da unidade gestora pagadora,Tipo de pagamento,Valor
18288418,000007/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160069,CENTRO DE OBTENCOES DO EXERCITO,PASSAGEM,"7434,13"
18288418,000007/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160069,CENTRO DE OBTENCOES DO EXERCITO,Serviço correlato: seguro,"1095,35"
18288418,000007/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160069,CENTRO DE OBTENCOES DO EXERCITO,DIÁRIAS,"39565,70"
18296348,000070/23,26000,Ministério da Educação,26406,Instituto Federal do Espírito Santo,158425,INST.FED. ESPIRITO SANTO/CAMPUS ALEGRE,DIÁRIAS,"1013,96"
18302983,000001/23,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM,"14903,10"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"4657,47"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"170,51"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,PASSAGEM,"730,06"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"144,39"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,PASSAGEM,"1823,56"
18303291,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"4922,98"
18306758,000002/23,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM,"14903,10"
18306785,000004/23,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM,"14903,10"
18306786,000003/23,52000,Ministério da Defesa,52111,Comando da Aeronáutica,120006,GRUPAMENTO DE APOIO DE BRASILIA,PASSAGEM,"14903,10"
18320442,000002/23,52000,Ministério da Defesa,52121,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1518,18"
18320483,000003/23,52000,Ministério da Defesa,52121,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1369,29"
18320580,000004/23,52000,Ministério da Defesa,52121,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1369,29"
18345549,000001/23,26000,Ministério da Educação,26251,Fundação Universidade Federal do Tocantins,154419,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,PASSAGEM,"4336,39"
18345549,000001/23,26000,Ministério da Educação,26251,Fundação Universidade Federal do Tocantins,154419,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS,PASSAGEM,"4336,39"
18350498,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"5508,90"
18350498,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"4079,70"
18350498,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"3126,83"
18350498,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,PASSAGEM,"717,08"
18350498,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"5583,08"
18352553,000005/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160085,ESTADO-MAIOR DO EXERCITO,PASSAGEM,"6531,60"
18352553,000005/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160085,ESTADO-MAIOR DO EXERCITO,Serviço correlato: seguro,"1114,55"
18352553,000005/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160085,ESTADO-MAIOR DO EXERCITO,PASSAGEM,"6506,90"
18352553,000005/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160085,ESTADO-MAIOR DO EXERCITO,DIÁRIAS,"39491,60"
18357181,000001/23-1C,52000,Ministério da Defesa,52131,Comando da Marinha,770000,SECRETARIA-GERAL DA MARINHA,DIÁRIAS,"937,65"
18357181,000001/23-1C,52000,Ministério da Defesa,52131,Comando da Marinha,770000,SECRETARIA-GERAL DA MARINHA,PASSAGEM,"309,58"
18357181,000001/23-1C,52000,Ministério da Defesa,52131,Comando da Marinha,770000,SECRETARIA-GERAL DA MARINHA,PASSAGEM,"434,82"
18357181,000001/23-1C,52000,Ministério da Defesa,52131,Comando da Marinha,770000,SECRETARIA-GERAL DA MARINHA,PASSAGEM,"869,42"
18357399,000002/23,52000,Ministério da Defesa,52131,Comando da Marinha,770000,SECRETARIA-GERAL DA MARINHA,PASSAGEM,"434,82"
18369197,000006/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160070,DEPARTAMENTO-GERAL DO PESSOAL,PASSAGEM,"3831,68"
18369197,000006/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160548,COMANDO DE OPERACOES TERRESTRES - UG,PASSAGEM,"3831,68"
18369197,000006/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160070,DEPARTAMENTO-GERAL DO PESSOAL,Serviço correlato: seguro,"971,56"
18369197,000006/23-1C,52000,Ministério da Defesa,52121,Comando do Exército,160070,DEPARTAMENTO-GERAL DO PESSOAL,DIÁRIAS,"38820,25"
18369332,000060/23,26000,Ministério da Educação,26438,Instituto Federal de Santa Catarina,158516,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC",PASSAGEM,"1125,54"
18369332,000060/23,26000,Ministério da Educação,26438,Instituto Federal de Santa Catarina,158516,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC",DIÁRIAS,"1151,93"
18369332,000060/23,26000,Ministério da Educação,26438,Instituto Federal de Santa Catarina,158516,"INST.FED.DE EDUC.,CIENC.E TEC.DE STA.CAT/IFSC",PASSAGEM,"1117,27"
18379705,000002/23,35000,Ministério das Relações Exteriores,35000,Ministério das Relações Exteriores - Unidades com vínculo direto,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM,"15492,42"
18379745,000003/23,35000,Ministério das Relações Exteriores,35000,Ministério das Relações Exteriores - Unidades com vínculo direto,240009,DEPARTAMENTO DO SERVICO EXTERIOR - MRE,PASSAGEM,"15492,42"
18382108,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"1110,27"
18382108,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"4886,28"
18382108,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,DIÁRIAS,"4907,10"
18382108,Informações p,-11,Sigiloso,-11,Sigiloso,-11,Sigilosa,PASSAGEM,"1922,39"
18386586,000015/23,22000,Ministério da Agricultura e Pecuária,22000,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,130005,COORD.-GERAL DE EXECUCAO ORC.E FIN./DA/MAPA,Serviço correlato: seguro,"324,96"
18386586,000015/23,22000,Ministério da Agricultura e Pecuária,22000,Ministério da Agricultura e Pecuária - Unidades com vínculo direto,130005,COORD.-GERAL DE EXECUCAO ORC.E FIN./DA/MAPA,PASSAGEM,"9087,74"
18387433,001258/22,32000,Ministério de Minas e Energia,32205,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis",323031,ESCRITORIO CENTRAL DA ANP,PASSAGEM,"2578,95"
18398807,000001/23-1C,26000,Ministério da Educação,26270,Fundação Universidade do Amazonas,154039,FUNDACAO UNIVERSIDADE DO AMAZONAS,DIÁRIAS,"1386,59"
18398807,000001/23-1C,26000,Ministério da Educação,26270,Fundação Universidade do Amazonas,154039,FUNDACAO UNIVERSIDADE DO AMAZONAS,PASSAGEM,"690,43"
