Identificador do processo de viagem,Número da Proposta (PCDP),Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço,Data da emissão/compra,Hora da emissão/compra
18288418,000007/23-1C,Aéreo,Brasil,Distrito Federal,Brasília,Estados Unidos da América,,Nova York,Estados Unidos da América,,Nova York,Brasil,Distrito Federal,Brasília,"7434,13","0,00",04/11/2022,11:04
18302983,000001/23,Aéreo,Brasil,São Paulo,São Paulo,Suécia,,Gotemburgo,Suécia,,Gotemburgo,Brasil,São Paulo,São Paulo,"9903,32","4999,78",15/09/2022,13:39
18306758,000002/23,Aéreo,Brasil,São Paulo,São Paulo,Suécia,,Gotemburgo,Suécia,,Gotemburgo,Brasil,São Paulo,São Paulo,"9903,32","4999,78",15/09/2022,13:42
18306785,000004/23,Aéreo,Brasil,São Paulo,São Paulo,Suécia,,Gotemburgo,Suécia,,Gotemburgo,Brasil,São Paulo,São Paulo,"9903,32","4999,78",15/09/2022,13:51
18306786,000003/23,Aéreo,Brasil,São Paulo,São Paulo,Suécia,,Gotemburgo,Suécia,,Gotemburgo,Brasil,São Paulo,São Paulo,"9903,32","4999,78",15/09/2022,13:48
18320442,000002/23,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1518,18","0,00",06/12/2022,16:35
18320483,000003/23,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1369,29","0,00",06/12/2022,16:31
18320580,000004/23,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1369,29","0,00",06/12/2022,16:33
18345549,000001/23,Aéreo,Portugal,,Lisboa,Brasil,Tocantins,Palmas,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4336,39","0,00",23/11/2022,15:41
18345549,000001/23,Aéreo,Brasil,Tocantins,Palmas,Portugal,,Lisboa,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4336,39","0,00",23/11/2022,15:41
