Identificador do processo de viagem ,Número da Proposta (PCDP),Sequência Trecho,Origem - Data,Origem - País,Origem - UF,Origem - Cidade,Destino - Data,Destino - País,Destino - UF,Destino - Cidade,Meio de transporte,Número Diárias,Missao?
17821923,000001/23-1C,1,01/01/2023,Brasil,São Paulo,São Paulo,02/12/2023,Reino Unido,,Loughborough,Aéreo,"0,00",Sim
17821923,000001/23-1C,2,02/12/2023,Reino Unido,,Loughborough,02/12/2023,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
18236583,000018/23,1,16/01/2023,Brasil,Rio de Janeiro,Niterói,28/02/2024,Brasil,Rio de Janeiro,Rio de Janeiro,Veículo Próprio,"0,00",Sim
18236583,000018/23,2,28/02/2024,Brasil,Rio de Janeiro,Rio de Janeiro,28/02/2024,Brasil,Rio de Janeiro,Niterói,Veículo Próprio,"0,00",Não
18288418,000007/23-1C,1,10/01/2023,Brasil,Distrito Federal,Brasília,28/01/2023,Estados Unidos da América,,Nova York,Aéreo,"17,50",Sim
18288418,000007/23-1C,2,28/01/2023,Estados Unidos da América,,Nova York,29/01/2023,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
18296348,000070/23,1,05/02/2023,Brasil,Espírito Santo,Alegre,10/02/2023,Brasil,Espírito Santo,Vitória,Rodoviário,"2,50",Sim
18296348,000070/23,2,10/02/2023,Brasil,Espírito Santo,Vitória,10/02/2023,Brasil,Espírito Santo,Alegre,Rodoviário,"0,50",Não
18302983,000001/23,1,01/01/2023,Brasil,São Paulo,São Paulo,06/07/2023,Suécia,,Gotemburgo,Aéreo,"0,00",Sim
18302983,000001/23,2,06/07/2023,Suécia,,Gotemburgo,07/07/2023,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
18306758,000002/23,1,01/01/2023,Brasil,São Paulo,São Paulo,06/07/2023,Suécia,,Gotemburgo,Aéreo,"0,00",Sim
18306758,000002/23,2,06/07/2023,Suécia,,Gotemburgo,07/07/2023,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
18306785,000004/23,1,01/01/2023,Brasil,São Paulo,São Paulo,06/07/2023,Suécia,,Gotemburgo,Aéreo,"0,00",Sim
18306785,000004/23,2,06/07/2023,Suécia,,Gotemburgo,07/07/2023,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
18306786,000003/23,1,01/01/2023,Brasil,São Paulo,São Paulo,06/07/2023,Suécia,,Gotemburgo,Aéreo,"0,00",Sim
18306786,000003/23,2,06/07/2023,Suécia,,Gotemburgo,07/07/2023,Brasil,São Paulo,São Paulo,Aéreo,"0,00",Não
18320442,000002/23,1,14/01/2023,Brasil,Rio de Janeiro,Rio de Janeiro,15/01/2023,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
18320483,000003/23,1,14/01/2023,Brasil,Rio de Janeiro,Rio de Janeiro,15/01/2023,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
18320580,000004/23,1,14/01/2023,Brasil,Rio de Janeiro,Rio de Janeiro,15/01/2023,Brasil,Rio Grande do Norte,Natal,Aéreo,"0,00",Sim
18345549,000001/23,1,05/06/2023,Portugal,,Lisboa,05/06/2023,Brasil,Tocantins,Palmas,Aéreo,"0,00",Não
18345549,000001/23,2,05/06/2023,Brasil,Tocantins,Palmas,05/06/2023,Brasil,Tocantins,Gurupi,Veículo Oficial,"0,00",Não
18345549,000001/23,4,20/06/2023,Brasil,Tocantins,Gurupi,20/06/2023,Brasil,Tocantins,Palmas,Veículo Oficial,"0,00",Não
18345549,000001/23,3,05/06/2023,Brasil,Tocantins,Gurupi,20/06/2023,Brasil,Tocantins,Gurupi,Inválido,"0,00",Sim
18345549,000001/23,5,20/06/2023,Brasil,Tocantins,Palmas,21/06/2023,Portugal,,Lisboa,Aéreo,"0,00",Não
18352553,000005/23-1C,2,28/01/2023,Estados Unidos da América,,Nova York,29/01/2023,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
18352553,000005/23-1C,1,10/01/2023,Brasil,Distrito Federal,Brasília,28/01/2023,Estados Unidos da América,,Nova York,Aéreo,"17,50",Sim
18357181,000001/23-1C,1,07/02/2023,Brasil,Distrito Federal,Brasília,10/02/2023,Brasil,Rio de Janeiro,Rio de Janeiro,Aéreo,"3,00",Sim
18357181,000001/23-1C,2,10/02/2023,Brasil,Rio de Janeiro,Rio de Janeiro,10/02/2023,Brasil,Distrito Federal,Brasília,Aéreo,"0,50",Não
18357399,000002/23,1,02/03/2023,Brasil,Distrito Federal,Brasília,05/03/2023,Brasil,Rio de Janeiro,Rio de Janeiro,Veículo Oficial,"0,00",Sim
18357399,000002/23,2,05/03/2023,Brasil,Rio de Janeiro,Rio de Janeiro,05/03/2023,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
18369197,000006/23-1C,1,10/01/2023,Brasil,Distrito Federal,Brasília,11/01/2023,Estados Unidos da América,,Nova York,Aéreo,"0,50",Não
18369197,000006/23-1C,3,28/01/2023,Estados Unidos da América,,Nova York,29/01/2023,Brasil,Distrito Federal,Brasília,Aéreo,"1,50",Não
18369197,000006/23-1C,2,11/01/2023,Estados Unidos da América,,Nova York,28/01/2023,Estados Unidos da América,,Nova York,Inválido,"17,00",Sim
18369332,000060/23,1,18/05/2023,Brasil,Santa Catarina,Joinville,19/05/2023,Brasil,Ceará,Fortaleza,Aéreo,"1,00",Não
18369332,000060/23,3,21/05/2023,Brasil,Ceará,Fortaleza,21/05/2023,Brasil,Santa Catarina,Joinville,Aéreo,"0,50",Não
18369332,000060/23,2,19/05/2023,Brasil,Ceará,Fortaleza,21/05/2023,Brasil,Ceará,Fortaleza,Inválido,"2,00",Sim
18379705,000002/23,1,02/01/2023,República Democrática do Congo,,Brazzaville,14/02/2023,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Sim
18379705,000002/23,2,14/02/2023,Brasil,Distrito Federal,Brasília,15/02/2023,República Democrática do Congo,,Brazzaville,Aéreo,"0,00",Não
18379745,000003/23,1,02/01/2023,República Democrática do Congo,,Brazzaville,14/02/2023,Brasil,Distrito Federal,Brasília,Aéreo,"0,00",Não
18379745,000003/23,2,14/02/2023,Brasil,Distrito Federal,Brasília,15/02/2023,República Democrática do Congo,,Brazzaville,Aéreo,"0,00",Não
18386586,000015/23,1,08/01/2023,Brasil,Distrito Federal,Brasília,09/01/2023,Angola,,Luanda,Aéreo,"0,00",Sim
18387433,001258/22,2,16/02/2023,Brasil,Pará,Belém,16/02/2023,Brasil,Distrito Federal,Brasília,Aéreo,"0,50",Não
18387433,001258/22,1,13/02/2023,Brasil,Distrito Federal,Brasília,16/02/2023,Brasil,Pará,Belém,Aéreo,"3,00",Sim
18395607,000001/23,1,01/01/2023,Brasil,Rio de Janeiro,Angra dos Reis,31/12/2023,Brasil,Rio de Janeiro,Niterói,Veículo Próprio,"0,00",Sim
18395607,000001/23,2,31/12/2023,Brasil,Rio de Janeiro,Niterói,31/12/2023,Brasil,Rio de Janeiro,Angra dos Reis,Veículo Próprio,"0,00",Não
18398807,000001/23-1C,2,16/01/2023,Brasil,Amazonas,Parintins,16/01/2023,Brasil,Amazonas,Manaus,Aéreo,"0,50",Não
18398807,000001/23-1C,1,12/01/2023,Brasil,Amazonas,Manaus,16/01/2023,Brasil,Amazonas,Parintins,Aéreo,"4,00",Sim
18398856,000002/23-1C,2,16/01/2023,Brasil,Amazonas,Parintins,16/01/2023,Brasil,Amazonas,Manaus,Aéreo,"0,50",Não
