Identificador do processo de viagem,Número da Proposta (PCDP),Código do órgão superior,Nome do órgão superior,Codigo do órgão pagador,Nome do órgao pagador,Código da unidade gestora pagadora,Nome da unidade gestora pagadora,Tipo de pagamento,Valor
18831091,000011/24,26000.0,Ministério da Educação,26425.0,Instituto Federal do Acre,158156,"INST.FED.DE EDUC.,CIENC.E TEC.DO ACRE",DIÁRIAS,"929,18"
19177818,000001/24-1C,26000.0,Ministério da Educação,26271.0,Fundação Universidade de Brasília,154040,FUNDACAO UNIVERSIDADE DE BRASILIA - UNB,DIÁRIAS,"14176,38"
19177818,000001/24-1C,26000.0,Ministério da Educação,26271.0,Fundação Universidade de Brasília,154040,FUNDACAO UNIVERSIDADE DE BRASILIA - UNB,PASSAGEM,"6877,94"
19177818,000001/24-1C,26000.0,Ministério da Educação,26271.0,Fundação Universidade de Brasília,154040,FUNDACAO UNIVERSIDADE DE BRASILIA - UNB,PASSAGEM,"14,37"
19192663,000085/24,26000.0,Ministério da Educação,26423.0,Instituto Federal de Sergipe,152420,INST. FED. DE SERGIPE/CAMPUS N.Sª DA GLORIA,DIÁRIAS,"120,54"
19255612,000002/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4625,13"
19255612,000002/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"1283,76"
19255728,000001/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4625,13"
19257123,000009/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1664,09"
19257179,000008/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1664,09"
19257229,000007/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1458,31"
19257401,000006/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"1458,31"
19258057,000005/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3550,15"
19258057,000005/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"2955,88"
19258191,000004/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3550,15"
19258289,000003/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3550,15"
19262909,000011/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3729,59"
19262909,000011/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"1185,53"
19262998,000010/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3729,59"
19263369,000012/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4552,54"
19263464,000014/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"1510,32"
19263464,000014/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4552,25"
19263558,000013/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4552,25"
19271367,000016/24-2C,36000.0,Ministério da Saúde,36212.0,Agência Nacional de Vigilância Sanitária,253002,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,PASSAGEM,"16763,00"
19271367,000016/24-2C,36000.0,Ministério da Saúde,36212.0,Agência Nacional de Vigilância Sanitária,253002,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,DIÁRIAS,"14202,43"
19271367,000016/24-2C,36000.0,Ministério da Saúde,36212.0,Agência Nacional de Vigilância Sanitária,253002,AGENCIA NACIONAL DE VIGILANCIA SANITARIA,Serviço correlato: seguro,"822,87"
19283045,000015/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"2344,85"
19283045,000015/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"4251,34"
19292022,000019/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"602,65"
19292144,000020/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"602,65"
19318138,000016/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3676,83"
19318174,000017/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"983,64"
19318174,000017/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"3676,83"
19319024,000018/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,PASSAGEM,"4941,71"
19319024,000018/24,52000.0,Ministério da Defesa,52121.0,Comando do Exército,160086,GABINETE DO COMANDANTE DO EXERCITO,RESTITUIÇÃO,"1384,16"
