Identificador do processo de viagem,Número da Proposta (PCDP),Meio de transporte,País - Origem ida,UF - Origem ida,Cidade - Origem ida,País - Destino ida,UF - Destino ida,Cidade - Destino ida,País - Origem volta,UF - Origem volta,Cidade - Origem volta,Pais - Destino volta,UF - Destino volta,Cidade - Destino volta,Valor da passagem,Taxa de serviço,Data da emissão/compra,Hora da emissão/compra
19177818,000001/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,França,,Paris,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6871,34","6,60",19/09/2023,18:53
19177818,000001/24-1C,Aéreo,França,,Paris,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7,77","6,60",19/09/2023,18:53
19255612,000002/24,Aéreo,Alemanha,,Munique,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4625,13","0,00",05/10/2023,17:40
19255728,000001/24,Aéreo,Alemanha,,Munique,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4625,13","0,00",05/10/2023,17:34
19257123,000009/24,Aéreo,Paraguai,,Assunção,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1664,09","0,00",22/09/2023,16:34
19257179,000008/24,Aéreo,Paraguai,,Assunção,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1664,09","0,00",22/09/2023,16:38
19257229,000007/24,Aéreo,Paraguai,,Assunção,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1458,31","0,00",22/09/2023,16:46
19257401,000006/24,Aéreo,Paraguai,,Assunção,Brasil,Rio Grande do Norte,Natal,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1458,31","0,00",22/09/2023,16:43
19258057,000005/24,Aéreo,Chile,,Santiago,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3550,15","0,00",14/09/2023,17:58
19258191,000004/24,Aéreo,Chile,,Santiago,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3550,15","0,00",14/09/2023,18:03
19258289,000003/24,Aéreo,Chile,,Santiago,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3550,15","0,00",14/09/2023,18:06
19262909,000011/24,Aéreo,Estados Unidos da América,,Washington,Brasil,Minas Gerais,Belo Horizonte,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3729,59","0,00",20/09/2023,16:44
19262998,000010/24,Aéreo,Estados Unidos da América,,Washington,Brasil,Minas Gerais,Belo Horizonte,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3729,59","0,00",20/09/2023,16:40
19263369,000012/24,Aéreo,Peru,,Lima,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4552,54","0,00",20/09/2023,16:28
19263464,000014/24,Aéreo,Peru,,Lima,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4552,25","0,00",20/09/2023,16:32
19263558,000013/24,Aéreo,Peru,,Lima,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4552,25","0,00",20/09/2023,16:25
19271367,000016/24-2C,Aéreo,Brasil,Distrito Federal,Brasília,China,,Hangzhou,China,,Hangzhou,Brasil,Distrito Federal,Brasília,"16763,00","0,00",19/12/2023,17:21
19283045,000015/24,Aéreo,Bolívia,,La Paz,Brasil,Rio Grande do Sul,Porto Alegre,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"2344,85","0,00",17/10/2023,08:37
19292022,000019/24,Aéreo,Brasil,Paraná,Foz do Iguaçu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"602,65","0,00",11/10/2023,21:34
19292144,000020/24,Aéreo,Brasil,Paraná,Foz do Iguaçu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"602,65","0,00",11/10/2023,16:25
19318138,000016/24,Aéreo,Estados Unidos da América,,Nova York,Brasil,Ceará,Fortaleza,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3676,83","0,00",09/10/2023,18:33
19318174,000017/24,Aéreo,Estados Unidos da América,,Nova York,Brasil,Ceará,Fortaleza,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3676,83","0,00",09/10/2023,18:30
19319024,000018/24,Aéreo,França,,Marseille,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4941,71","0,00",17/10/2023,08:43
19327561,000001/24,Aéreo,Brasil,São Paulo,São Paulo,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1921,16","0,00",25/09/2023,16:43
19327561,000001/24,Aéreo,Guiné-Equatorial,,Malabo,Brasil,São Paulo,São Paulo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"13582,61","0,00",25/09/2023,16:43
19327561,000001/24,Aéreo,Brasil,São Paulo,São Paulo,Guiné-Equatorial,,Malabo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4,91","0,00",25/09/2023,16:43
19327561,000001/24,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,São Paulo,São Paulo,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1,00","0,00",25/09/2023,16:43
19333892,000009/24-1C,Aéreo,Brasil,Santa Catarina,Florianópolis,Espanha,,Madri,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3543,82","0,00",16/11/2023,11:03
19333892,000009/24-1C,Aéreo,Espanha,,Madri,Brasil,Santa Catarina,Florianópolis,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3543,82","0,00",16/11/2023,11:02
19334971,000001/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Santa Catarina,Jaguaruna,Brasil,Santa Catarina,Jaguaruna,Brasil,Distrito Federal,Brasília,"1827,40","0,00",13/11/2023,11:35
19340103,000022/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4741,36","0,00",06/10/2023,15:50
19340300,000021/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4741,36","0,00",06/10/2023,15:54
19341072,000025/24,Aéreo,Alemanha,,Munique,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"5556,36","0,00",23/10/2023,18:41
19341178,000023/24,Aéreo,Alemanha,,Munique,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4769,49","0,00",23/10/2023,18:50
19341294,000003/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Rússia,,São Petersburgo,Rússia,,São Petersburgo,Brasil,Distrito Federal,Brasília,"16827,44","0,00",12/12/2023,12:56
19343149,000012/24,Aéreo,Brasil,Bahia,Salvador,Brasil,Santa Catarina,Florianópolis,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"635,90","0,00",20/11/2023,18:57
19343149,000012/24,Aéreo,Brasil,Santa Catarina,Florianópolis,Brasil,Bahia,Salvador,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"642,21","0,00",20/11/2023,18:56
19343193,000024/24,Aéreo,Alemanha,,Munique,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"5556,36","0,00",23/10/2023,18:44
19343637,000029/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4836,87","0,00",04/10/2023,17:05
19343760,000028/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"4836,87","0,00",04/10/2023,17:11
19343845,000027/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3842,57","0,00",04/10/2023,17:19
19343973,000026/24,Aéreo,Alemanha,,Hamburgo,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"3842,57","0,00",04/10/2023,17:15
19352985,000037/24,Aéreo,Alemanha,,Colônia - Renânia do Norte,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7574,43","0,00",05/10/2023,15:19
19353078,000036/24,Aéreo,Alemanha,,Colônia - Renânia do Norte,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7574,43","0,00",05/10/2023,15:21
19353159,000034/24,Aéreo,Alemanha,,Colônia - Renânia do Norte,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"7574,43","0,00",05/10/2023,15:25
19353243,000035/24,Aéreo,Alemanha,,Colônia - Renânia do Norte,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6224,44","0,00",05/10/2023,15:28
19354451,000001/24-1C,Aéreo,Brasil,Paraná,Curitiba,Brasil,Pernambuco,Recife,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1258,79","0,00",06/10/2023,11:55
19354451,000001/24-1C,Aéreo,Brasil,Pernambuco,Recife,Brasil,Paraná,Curitiba,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"679,54","0,00",06/10/2023,11:55
19354920,000041/24,Aéreo,França,,Marseille,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6907,38","0,00",17/10/2023,08:23
19355026,000040/24,Aéreo,França,,Marseille,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6907,38","0,00",17/10/2023,08:27
19355122,000039/24,Aéreo,França,,Marseille,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6907,38","0,00",17/10/2023,08:30
19355148,000030/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1470,83","0,00",02/10/2023,15:51
19355148,000030/24-1C,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"740,59","0,00",02/10/2023,15:51
19355199,000038/24,Aéreo,França,,Marseille,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"6907,38","0,00",17/10/2023,08:33
19355246,000031/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"727,81","0,00",02/10/2023,18:16
19355246,000031/24-1C,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"837,59","0,00",02/10/2023,18:16
19355354,000032/24-1C,Aéreo,Brasil,Rio de Janeiro,Rio de Janeiro,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"487,42","0,00",03/10/2023,10:34
19355467,000033/24-1C,Aéreo,Brasil,Distrito Federal,Brasília,Brasil,Rio de Janeiro,Rio de Janeiro,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"848,21","0,00",03/10/2023,13:05
19358162,000001/24,Aéreo,Brasil,Rio Grande do Sul,Porto Alegre,Brasil,Minas Gerais,Belo Horizonte,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"770,14","0,00",20/11/2023,12:11
19358162,000001/24,Aéreo,Brasil,Minas Gerais,Belo Horizonte,Brasil,Rio Grande do Sul,Pelotas,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"350,30","0,00",20/11/2023,12:11
19360481,000046/24,Aéreo,Uruguai,,Montevidéu,Brasil,Distrito Federal,Brasília,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,Sem informação,"1846,43","0,00",20/10/2023,14:26
